x,y,heading,curvature
2.139797848819955917e+01,-5.978269164192956175e+00,5.040961652453818109e-01,-1.834834829164806724e-02
2.150555331731400699e+01,-5.919071099889536391e+00,5.021468460782407828e-01,-1.340358997526328727e-02
2.161323343595569924e+01,-5.860045784604221986e+00,5.008043326185368516e-01,-8.462611824871676264e-03
2.172097884688664848e+01,-5.801130211196014130e+00,5.000683721589189723e-01,-3.523849012822790477e-03
2.182874955286887442e+01,-5.742261372523909557e+00,4.999388463064460830e-01,1.414401918544647054e-03
2.193650587982702760e+01,-5.683376716426220554e+00,5.003758137705196507e-01,4.432613006467707624e-03
2.204422679923994721e+01,-5.624439941739407089e+00,5.008752271806528045e-01,3.701691421118773542e-03
2.215191976321196776e+01,-5.565454845053915633e+00,5.012848422374349688e-01,2.970101585531076047e-03
2.225959462535627154e+01,-5.506428604034568686e+00,5.016046096454399583e-01,2.238124269711822510e-03
2.236726123928608345e+01,-5.447368396346193187e+00,5.018345030538080564e-01,1.506039329526604386e-03
2.247492936952282250e+01,-5.388281660262905781e+00,5.019627850582831785e-01,2.795744827522808488e-04
2.258260502009812143e+01,-5.329186834158585739e+00,5.018735899756717744e-01,-1.731963634794676668e-03
2.269028913088495969e+01,-5.270117169969694260e+00,5.015372862531322085e-01,-3.744787035620902350e-03
2.279798228466848542e+01,-5.211106964177930401e+00,5.009536661732271190e-01,-5.761250333177632930e-03
2.290568506423383965e+01,-5.152190513264987004e+00,5.001223294151313503e-01,-7.783706775758192538e-03
2.301339787860942465e+01,-5.093399682281189556e+00,4.991676993497202730e-01,-5.115582775771965358e-03
2.312111555911329575e+01,-5.034688285672015873e+00,4.990804002831077946e-01,3.693084790086737911e-03
2.322882630715921337e+01,-4.975917363606652266e+00,5.000734246135111194e-01,1.248667188303636925e-02
2.333651793799337781e+01,-4.916942552493487995e+00,5.021439861333201193e-01,2.122737748617557069e-02
2.344417826686200357e+01,-4.857619488740917646e+00,5.052861933937704553e-01,2.987725620910277116e-02
2.355179623062304373e+01,-4.797816588333312815e+00,5.088990128494074172e-01,1.845949058890643604e-02
2.365938897110049766e+01,-4.737723632911118088e+00,5.091533207348698520e-01,-1.432599290740698729e-02
2.376700324143394027e+01,-4.677867793632040971e+00,5.053619952507026891e-01,-4.734355308771096005e-02
